,Updater Initials OR Update Complete,Details to Be Verified,2025 Info Released Yet?,Category,Name,Ages/Grades,Registration Date,Registration Status,Weeks Run,Location,Cost Per Week,Discounts Offered,Interesting Camp Sessions,Link,Notes
1,,,yes,Sleepaway,Avid 4 Adventure,1st-12th grade,Open now,,"6/1-8/1, one week and two week options available (Camp Blue Sky, grades 1-5) 6/8-8/1 one, two and three week options available (Camp Windy Peak, grades 6-12)","Evergreen, CO (Camp Blue Sky), Bailey (Camp Windy Peak)","$1349 for one week, $2399 for two weeks, $3499 for three weeks",Yes,,https://avid4.com/mt-evans-camps,
2,,,yes,Sleepaway,Cheley Colorado Camps,Ages 8-17,Open now,,"June 10-July 6, July 8-August 3, August 4-8","Estes Park, CO","$1250 (8 year olds), $1600 (9 and 10s for one week), $7450 (9-17 year olds, 27 day camps)",,,https://www.cheley.com/about/rates,
3,,,yes,Sleepaway,Colvig Silver Camp (Durango),Completed 2nd through 11th grade,Open Now,,June 9-August 9,Durango,"$3780 (2nd, 3rd, 4th grade - 2 weeks), $7250 (5th-11th grade - 4 weeks)","Sibling Discount = 5%
Early Bird (pay in full by Jan. 15th) = 5%",,https://www.colvigsilvercamps.com/,
4,,,yes,Sleepaway,Geneva Glen,Grades 1-11,Open 11/18,Waitlist for most,6/6-8/9,"Indian Hills, CO",$550 for 3 days (1st/2nd) to $2700 for multiweek (3rd-11th),,Seedlings camp for 1st/2nd graders - 3 days for first time sleepaway campers,https://www.genevaglen.org/registration/,
5,,all,,Sleepaway,Lutheran Camp,,,,,,"$420 with $15/horseback ride
$470 for horseback camp",,"Experience the awesomeness of LVR during these week-long sessions. Each day the campers play in God’s creation with activities like archery, tomahawks, rock climbing, fishing, giant swing, crafts, and many other camp activities. Horse rides are $15 extra each, up to two rides for the week and payable upon arrival to camp.

Campers have demonstrations in grooming, haltering, leading, saddling & riding styles as well as hands on experience, knowledge of horse breeds, equipment, along with the work and joys involved in owning a horse. Campers are instructed to wear long pants & tennis shoes or boots.",https://lvr.org/summer-camp/,
6,,,yes,Sleepaway,JCC Ranch Camp,2nd through 12th grade,Open Now,,June 9 through August 3 (three sessions),"Black Forest, CO","$1825 for one week (2nd/3rd graders) $3700 for 2 weeks, more for equestrian camp",https://www.ranchcamp.org/discounts-scholarships/,,https://www.ranchcamp.org/,
7,,,yes,Sleepaway,Sanborn (Florissant),2nd through 11th grade,Open now,,"First Session: June 8th - June 22nd, 2025
Second Session: June 24th - July 8th, 2025
Third Session: July 12th - July 26th, 2025
Fourth Session: July 28th - August 11th, 2025","Florrisant, CO","$3700 for two weeks, $7100 for one month sessions",,,https://www.sanbornwesterncamps.com/dates-rates,"The two-week Sanborn Junior program is a Colorado summer camp designed to provide an outstanding outdoor mountain camp experience for children who have completed the second through the fourth grades, generally ages 8-10."
8,,,yes,Sleepaway,YMCA Camp Chief Ouray (Granby),Ages 7-17,Open now,Filling quickly - many with waitlist,"June 5-August 9, one week and two week sessions, along with sessions for older kids","Granby, CO","$481.95 mini camp
$1132 traditional one week camp
$2324 traditional two week camp",https://campchiefouray.org/About/Apply-for-Scholarship,Each week has a different theme,https://campchiefouray.org/Summer-Camps-Programs/Availability-Registration,"TRADITIONAL CAMP (Sun – Sat)
Campers live in cabins of up to 10 campers and 2 staff members. This community living builds a campers ability to group problem solve, make group decisions, and becomes the core of their experience. The activities at camp consist of a mix between cabin activities including a camp out night under the stars, group activities of campers of similar ages, and freedom of choice activities (FOCA) which campers choose. This mixture of activities allows for bonding with cabin mates and the ability to branch out to new friends of all ages.
"
9,,all,,Sleepaway,YMCA Camp Jackson (Pueblo),,,,,,?,,Open now,,
10,,all,,Sleepaway,YMCA Camp Santa Maria (Bailey),,,,,,$993 for one week,,Open now,,"Session 1: Pirates of Danger Lake
Session 2: Games of Mt. Logan
Session 3: Wasteland Survivors
Session 4: Once Upon a Time
Session 5: Wild West
Session 6: Camp Santa Maria’s School for Witchcraft and Wizardry
Session 7: Space Invaders
Session 8: Raiders of the Lost Park
Session 9: Time Travelers
Explorers Camp: Best Week of Camp"
11,,all,,Sleepaway,"YMCA Shady Brook (8716 South Y Camp Road, Deckers CO, 80135)",,,,,,$735 for one week,,,,"Jul 10 - Jul 15 - optional half week program instead
Building on the half-week program, Aspen Camp gives younger campers a close experience of what traditional camp is like. Structured activities, along with a 1 to 6 staff to camper ratio, provide opportunities essential for a genuine camp experience. Campers will participate in similar programs to the mini-aspen camper, but with the additional time, they will experience campouts, themed events, horse adventures and so much more.

Age 8 and up, horsemaster program, and adventure camps"
12,,,,Sleepaway,Keystone Science,1st through 8th grade,January 15th,,June 9-August 15,"Keystone, CO","about $1500 for one week, other options available",scholarships available,"Flora and Fauna, Forest Ecology, Geology, Water Ecology, Astronomy",https://www.keystonescienceschool.org/camp/discovery-camp/,"Overnight camp for kids entering grades 1st through 8th.
6 day camps – Monday through Saturday – offered each week from June until August.
Shorter 3-day and longer 12-day sessions also available.
Utilizing our 23 acre campus and surrounding Rocky Mountains of Colorado, KSS offers a traditional camp experience with a mix of Science, Adventure, FUN! Each session follows the same core activities and adventures with a different science theme hidden in each week."
13,,,,Sleepaway,Girl Scout Camps,Entering 2nd through 12th grade,January 23rd @ 9am,,June 8-July 26 (Tomahawk Ranch) June 8-July 15 (Sky High Ranch),Tomahawk Ranch (Bailey) Sky High Ranch (Woodland Park),"about $900 for one week, $1500 for two depending on which camp you choose",,https://heyzine.com/flip-book/3483bcf8a7.html#page/1,https://www.camp.girlscoutsofcolorado.org/,Must have a Girl Scout membership ($25) to register
14,NS,,,Sleepaway,Annunciation Heights Catholic Camp,3rd-12th grade,Open Now,,"LOTS Of options: base camp which is traditional cabins. Rustic is sleeping in tents but still all the fun camp activities, meals outside, restrooms with showers.","Estes Park, CO",$900/week,Use code WITNESS until Jan. 31 for $50 off. Use Nicole Stephan as referral to receive discount. Scholarships available as well.,,https://www.annunciationheights.org/youth-camps,"Camp Trailer: https://www.youtube.com/watch?v=r-iXczJN5Z4&list=PLUbtguJ_vaKwL0gAD75QJjOGOIGY8HTvq
My girls have been going to camp here every summer for 7 years. My daughters will both be counselors there this summer. I'd describe it as a Catholic immersion experience: Mass, adoration, contemplation but filled with tons of fun! Be sure to watch the video above."
